,score,mean_freq,cv,time_corr,dynamic_range,presence_rate
poison,0.3177363206022664,0.09907779819631093,1.355273400973122,0.06655871756263426,0.55311482663801,0.7121212121212122
suicide,0.4019896392527051,0.10911158067007799,1.6386770650508942,0.14242911927846902,0.948316737790422,0.8181818181818182
accident,0.4345307303284288,0.14618681120428526,0.9796205006176743,0.1724785665257817,0.7616027852901862,0.9393939393939394
victim,0.3043397905745169,0.06209223276073049,1.0420325430295925,0.1062949675151153,0.26159178601791905,0.8484848484848485
clue,0.34536863126736717,0.06823050056729783,0.9786662321772139,0.21090825475777486,0.3472945752587345,0.8636363636363636
weapon,0.26266358068062645,0.02797642381718806,1.4232537265056757,0.24652897400005117,0.17984435288731934,0.6363636363636364
knife,0.29171038632414736,0.048822205806146365,1.536013094734353,0.09088701095103975,0.4274219025849733,0.7727272727272727
accused,0.2769024886037435,0.030377373431990762,2.340989975023538,0.1608978781924702,0.5504359097285108,0.6212121212121212
guilty,0.36966524279073654,0.08442925904844163,0.9479109518061875,0.222156065146879,0.3906319359363625,0.9242424242424242
murderer,0.5049376533671766,0.2107390990278819,0.9286391922686315,0.24713847380933923,1.0602847621932747,0.8636363636363636
criminal,0.3169424803014526,0.07478557115868224,0.769205561697085,0.07003983343550356,0.26787350731012705,0.8484848484848485
butler,0.3132307635530165,0.07373691778694669,1.8673533496789785,0.1236799715802568,0.6896076132680504,0.6212121212121212
servant,0.32724440735353333,0.03953998826478328,1.3516224182597567,0.37909619181235005,0.2725276134596579,0.7575757575757576
enemy,0.25777824842278213,0.03912348282646918,1.8251484499320687,0.052709202218979796,0.4616805170821791,0.6363636363636364
nephew,0.22849487988633677,0.037081594007461346,1.5012852569931452,0.10381872305190247,0.2473487307918251,0.5303030303030303
niece,0.207924423033698,0.03575700970898841,1.713194565406181,0.04442658560456322,0.2942907592701589,0.4696969696969697
motive,0.41749280883872797,0.1463820041919054,0.829299056487352,0.25077495352026097,0.4878842088144414,0.9393939393939394
alibi,0.3323598921335629,0.05897181889405241,1.561541089319967,0.27627135345644277,0.45133142771174967,0.7575757575757576
blackmail,0.24758991761477284,0.030504449468761696,1.3436857942348424,0.16205291554302176,0.18340340283852036,0.6212121212121212
jealousy,0.21982040873589606,0.028024446012448734,1.2968171326097657,0.0891672800258169,0.13425972543886147,0.5757575757575758
garden,0.5281197174428472,0.2177265073122263,0.9949530863357263,0.411528077792394,0.928893831359979,0.9393939393939394
study,0.41883093068033966,0.09469991099705004,1.4992349975441879,0.2113246254604384,0.8633012072064422,0.9242424242424242
locked,0.3629886143609394,0.0650918849555637,1.1772092941000707,0.3480537971156156,0.39508201902715,0.8181818181818182
key,0.3444757060634009,0.08657087541292374,1.0494626335472492,0.13306675449416494,0.4014241831890533,0.8939393939393939
frightened,0.39687141647515417,0.08962521967807119,0.7679574665057,0.3645496808126524,0.30208438223743833,0.9242424242424242
